image number,alt,article_heading
image_1_1.jpg,Workers sort packages at an Amazon distribution facility in Tepotzotlan Mexico state.,Artificial intelligence will affect 60 million US and Mexican jobs within the year
image_1_2.jpg,,Artificial intelligence will affect 60 million US and Mexican jobs within the year
image_1_3.jpg,,Artificial intelligence will affect 60 million US and Mexican jobs within the year
image_2_1.jpg,Diego Hidalgo,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
image_2_2.jpg,Diego Hidalgo is also the driving force behind the OFF Manifesto an initiative that advocates for the control of technology.,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
image_3_1.jpg,Teléfonos móviles y niños,How a pioneering movement of Basque families managed a ‘digital delay’ for their teenage kids
image_4_1.jpg,Social media platforms,No more free pass: Regulation starts to crack down on social media platforms
image_4_2.jpg,Meta CEO Mark Zuckerberg before testifying in the U.S. Senate on protecting minors from online sexual exploitation on January 31. ,No more free pass: Regulation starts to crack down on social media platforms
image_4_3.jpg,Former Facebook employee Frances Haugen testified in the U.S. Senate in October 2021 about her leaks published by 'The Wall Street Journal' in which she showed official Instagram documents proving that the company's executives were aware of the harmful effects of the social network on teenage users.,No more free pass: Regulation starts to crack down on social media platforms
image_4_4.jpg,Huawei Vice President Meng Wanzhou in October 2021 after leaving court in Vancouver Canada.,No more free pass: Regulation starts to crack down on social media platforms
image_5_1.jpg,The ChatGPT app for iPhone displaying a notification with updates to the latest version of OpenAI's generative AI engine.,How to ask AI to help you at work
image_6_1.jpg,Artificial intelligence has arrived in territory as old as humanity itself: solo pleasure.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
image_6_2.jpg,Male masturbator Lelo F1S V3.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
image_6_3.jpg,Male masturbator Lelo F1S V3.,‘This is not your normal masturbation’: Artificial intelligence comes to male sex toys  
image_7_1.jpg,La ilustradora Karla Ortiz autora de esta obra ha visto que algunas herramientas de IA generativa hacen dibujos con un estilo muy parecido al suyo. Ella es una de las artistas que han demandado a las desarrolladoras de estas herramientas.,The court decision that could turn generative AI upside down 
image_8_1.jpg,Pavel Durov,What does the arrest of Telegram founder Pavel Durov mean?
image_9_1.jpg,Fuzhou Jiangxi Province of China,The lightbulb of the 21st century: The battery revolution illuminates a new era  
image_9_2.jpg,Clearway Daggett 3 Solar Power + Battery Energy Storage System,The lightbulb of the 21st century: The battery revolution illuminates a new era  
image_9_3.jpg,Vinfast Factory in Haiphong,The lightbulb of the 21st century: The battery revolution illuminates a new era  
image_10_1.jpg,Basura electronica,Bitcoin mining uses the same amount of energy as Argentina while laptops need a ton of material
