image number,alt,article_heading
image_1_2.jpg,Scottie Scheffler shakes hands with Rory McIlroy ,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_1_3.jpg,Bryson DeChambeau and Brooks Koepka smile,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_1_4.jpg,Scottie Scheffler,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_2_2.jpg,Scottie Scheffler,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_2_3.jpg,Scottie Scheffler gets the green jacket,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_2_4.jpg,Scottie Scheffler tee shot,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_3_2.jpg,Jon Rahm looks on course,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_3_3.jpg,Jon Rahm reacts to bad shot,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_3_4.jpg,Jon Rahm swings,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_4_2.jpg,Donald Trump in Bedminster,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_4_3.jpg,Former President Donald Trump greets fans,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_4_4.jpg,Trump National Golf Club,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_5_2.jpg,Paige Spiranac at Fanatics Fest,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_5_3.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_5_4.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_6_2.jpg,Jon Rahm and Alcaraz,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_6_3.jpg,Jon Rahm looks on course,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_6_4.jpg,Carlos Alcaraz and Novak Djokovic,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_7_1.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_7_2.jpg,Hailey Davidson swings,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_7_3.jpg,Hailey Davidson addresses ball,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_8_2.jpg,Matt Fitzpatrick admires golf shot,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_8_3.jpg,Matt Fitzpatrick golf shot,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_8_4.jpg,Matt Fitzpatrick looks on course,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_9_1.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_9_2.jpg,Amy Olson at the US Women's Open,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_9_3.jpg,Amy Olson at the 18th hole,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_9_4.jpg,Hailey Davidson addresses ball,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_10_1.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_10_2.jpg,Hailey Davidson admires shot,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_10_3.jpg,Hailey Davidson addresses ball,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_10_4.jpg,LPGA Q School flag,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
