image number,alt,article_heading
image_1_1.jpg,map visualization,Map Shows Which States Have More Women Than Men
image_1_2.jpg,Mississippi hospital,Map Shows Which States Have More Women Than Men
image_2_1.jpg,Kamala Harris Speaks During Presidential Debate ,Kamala Harris Hints She'd Have More Support as a Man in Debate Easter Egg
image_3_1.jpg,A boy discovers he's having a sister.,Water Pistol Gender Reveal Ends in Tears for Older Sibling: 'Not Happy'
image_4_1.jpg,Kamala Harris,Kamala Harris Is No Feminist | Opinion
image_5_1.jpg,Fanni Willis,Black Women Prosecutors Are Under Attack—Just Like Kamala Harris | Opinion
image_6_1.jpg,Kamala Harris in Georgia ,'Surprise' Supreme Court Ruling Is 'Gift' to Kamala Harris: Attorney
image_7_1.jpg,Leonardo DaVinci Gender Fluid,Republican Confronts Son's Teacher She Says Called da Vinci Gender Fluid
image_8_1.jpg,Men enjoy themselves at a bar,Men Bust Biggest Gender Myths Around Sex and Emotion
image_9_1.jpg,Kamala Harris,Trump vs. Harris Poised To Be Largest Gender Divide in Election History
image_10_1.jpg,J.K. Rowling Imane Khelif,JK Rowling Falls Silent as She Could Be Prosecuted in Imane Khelif Lawsuit
